sim_id,tourism_final_nzd_bn,gdp_final_nzd_bn,gdp_change_nzd_bn,gdp_pct_change,employment_chg_k,scenario
0,99.66243248961557,458.68697003696985,53.68697003696985,13.256041984437001,352.9904307249104,boom
1,59.92442334147453,353.90059428353914,-51.099405716460865,-12.617137213940953,88.63886772225544,negative_shock
2,75.69250693018785,395.4799377699934,-9.520062230006602,-2.350632649384346,193.53384438536978,base_case
3,72.9980099900083,388.37473610305653,-16.625263896943466,-4.105003431344065,175.60907933267322,base_case
4,74.7356479108609,392.9567668590284,-12.043233140971608,-2.9736378125855825,187.16847322675707,base_case
5,89.9890684415209,433.1789795343608,28.178979534360792,6.957772724533529,288.6397256839373,base_case
6,82.40121445019047,413.17033449797714,8.170334497977137,2.017366542710404,238.16258539826273,base_case
7,81.30275008579811,410.2737601072,5.273760107200019,1.3021629894321034,230.85520443342088,base_case
8,86.43952402342136,423.81907693426103,18.819076934261034,4.646685662780502,265.02687655065705,base_case
9,77.98490057875861,401.5248209280404,-3.4751790719595874,-0.8580689066566883,208.78367337800793,base_case
10,81.24596497361935,410.12402170234486,5.124021702344862,1.2651905437888549,230.47744939532186,base_case
11,87.74231697336576,427.2544516424623,22.2544516424623,5.494926331472173,273.69352493011553,base_case
12,85.32772151306702,420.88733077709236,15.887330777092359,3.922797722738854,257.63076543027415,base_case
13,73.41319304982622,389.4695450541128,-15.530454945887186,-3.8346802335523913,178.37102672631175,base_case
14,80.94407913751769,409.32796967723056,4.327969677230556,1.0686344882050753,228.46919597919492,base_case
15,88.29901803571224,428.7224337571149,23.722433757114914,5.857391051139485,277.39690109593977,base_case
16,94.7361206050647,445.69662705605367,40.69662705605367,10.048549890383622,320.21882805944324,base_case
17,96.06204605419605,449.1930005612224,44.19300056122239,10.911851990425282,329.0393621631067,boom
18,75.46850387248345,394.88925723320494,-10.110742766795056,-2.4964796955049517,192.043695289053,base_case
19,76.75767619233436,398.28871528393967,-6.711284716060334,-1.6571073372988478,200.6197343266878,base_case
20,106.67559837340177,477.1802023672549,72.18020236725488,17.82227218944565,399.6445385355053,boom
21,91.2843698814876,436.5945996500117,31.594599650011673,7.801135716052265,297.25653783822224,base_case
22,79.86700443393984,406.4877983394346,1.4877983394346188,0.3673576146752145,221.3041067493852,base_case
23,82.94598234869024,414.6068496866922,9.606849686692215,2.3720616510351147,241.78657785609383,base_case
24,82.81311859437005,414.2564971757673,9.256497175767322,2.285554858214154,240.90272026297674,base_case
25,92.20092231308273,439.0114848829082,34.01148488290818,8.397897501952636,303.3537750441125,base_case
26,62.557418284784035,360.8436194476325,-44.15638055236752,-10.902810012930253,106.15449931937876,negative_shock
27,82.7175579739663,414.004510443379,9.00451044337899,2.22333591194543,240.2670165650118,base_case
28,87.81758539544066,427.45292925437553,22.452929254375533,5.543933149228527,274.1942376091546,base_case
29,89.54005648933844,431.9949661389294,26.994966138929385,6.665423738007256,285.652736302466,base_case
30,86.72909573806932,424.5826574746336,19.582657474633606,4.835224067810767,266.95321199144826,base_case
31,99.3828863085227,457.9498261336799,52.94982613367989,13.074031144118493,351.1307887476832,boom
32,93.58438696459535,442.65958527652776,37.659585276527764,9.298663031241423,312.55708066576307,base_case
33,76.43583395557455,397.4400396135327,-7.55996038646731,-1.8666568855474839,198.47872373880065,base_case
34,67.89165933604706,374.9096433662759,-30.090356633724127,-7.4297176873392905,141.63979386640744,negative_shock
35,85.15798484573205,420.43974695032864,15.43974695032864,3.8122831976120097,256.50161592654365,base_case
36,90.7345719466066,435.1448206040074,30.144820604007407,7.443165581236396,293.59908376497947,base_case
37,109.42387223564673,484.4272100502254,79.42721005022543,19.611656802524795,417.9270470611692,boom
38,76.04263874019051,396.4032110841998,-8.596788915800175,-2.122663929827204,195.8630474132845,base_case
39,88.46692503665226,429.16519288041525,24.165192880415248,5.966714291460555,278.5138789991888,base_case
40,74.68705531514641,392.8286315522396,-12.171368447760415,-3.005276159940843,186.84521776170357,base_case
41,89.37618701162117,431.5628536845136,26.562853684513584,6.5587293048181685,284.5626174592824,base_case
42,104.2374122995986,470.7508746892156,65.7508746892156,16.234783873880396,383.4248457698619,boom
43,74.1849367818066,391.5045797832855,-13.495420216714479,-3.3322025226455505,183.50494425665332,base_case
44,68.67849083840036,376.9844635001397,-28.015536499860275,-6.917416419718586,146.8740806846376,negative_shock
45,70.91462396180218,382.88099155291553,-22.119008447084468,-5.46148356718135,161.74964438108745,negative_shock
46,87.98609769205699,427.89728450041935,22.897284500419346,5.653650493930703,275.3152421574606,base_case
47,96.74400525979779,450.9912797175912,45.991279717591226,11.355871535207712,333.57600065530715,boom
48,70.86153015682522,382.74098686929506,-22.259013130704943,-5.496052624865419,161.3964452492665,negative_shock
49,80.44404889074546,408.0094245752093,3.009424575209323,0.743067796347981,225.1428145092509,base_case
50,78.35512865626515,402.50108670671705,-2.4989132932829534,-0.6170156279710997,211.24656402236474,base_case
51,81.64996107856007,411.189331428794,6.189331428793992,1.5282299824182695,233.16497713205194,base_case
52,64.77762603033423,366.6981533828531,-38.30184661714691,-9.457246078307877,120.9241216610217,negative_shock
53,71.16586399597047,383.54349410875625,-21.45650589124375,-5.297902689195988,163.42098366418122,negative_shock
54,78.1192682856164,401.8791392575631,-3.1208607424368893,-0.7705828993671332,209.67753580560264,base_case
55,84.051003168866,417.52071299692096,12.520712996920963,3.0915340733138184,249.13757472850773,base_case
56,77.75086362261408,400.90768169654723,-4.092318303452771,-1.010448963815499,207.2267751718962,base_case
57,86.71730201157023,424.55155823531686,19.55155823531686,4.827545243288114,266.8747558709607,base_case
58,89.72117816043762,432.47257143148784,27.472571431487836,6.783350970737738,286.8576229557009,base_case
59,81.62325643939232,411.1189131462937,6.118913146293721,1.5108427521712893,232.98732824488454,base_case
60,90.19167967624162,433.7132513166779,28.713251316677884,7.089691683130342,289.98756866169316,base_case
61,97.18754397514685,452.16086056686066,47.16086056686066,11.644656930089052,336.5265800921786,boom
62,97.81476336023985,453.81479461074235,48.814794610742354,12.053035706356138,340.6990695638273,boom
63,67.235801548332,373.18019183970034,-31.819808160299658,-7.856742755629545,137.2767914159425,negative_shock
64,72.60096346404642,387.3277519346767,-17.672248065323288,-4.363518040820566,172.96778270073796,base_case
65,98.82936723004192,456.49023468992755,51.49023468992755,12.713638195043838,347.4485802856866,boom
66,74.47418358742807,392.2673035610758,-12.732696438924222,-3.1438756639319068,185.4291182854657,base_case
67,79.97656410068026,406.7766995866935,1.7766995866934963,0.43869125597370284,222.0329371504481,base_case
68,81.5226888853269,410.8537234768864,5.853723476886387,1.445363821453429,232.31831661912744,base_case
69,84.3926936242053,418.4217270439777,13.421727043977683,3.3140066775253536,251.41062282196654,base_case
70,74.98150967798264,393.6050872974524,-11.394912702547572,-2.8135586919870548,188.80403433851114,base_case
71,85.95698641274353,422.54665870114945,17.546658701149454,4.33250832127147,261.8168624023711,base_case
